time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-02-15 07:00:00 UTC+0000,0.1575,0.205,0.25,1.1475
2021-02-15 11:00:00 UTC+0000,0.4525,0.1875,1.25,0.795
2021-02-15 15:00:00 UTC+0000,0.1825,0.1875,0.26,0.55
2021-02-15 19:00:00 UTC+0000,0.1725,0.1825,0.25,0.6825
2021-02-15 23:00:00 UTC+0000,0.6,0.96,0.96,2.2225
2021-02-16 03:00:00 UTC+0000,0.67,1.0325,1.0325,1.8825
2021-02-16 07:00:00 UTC+0000,0.1225,0.1575,0.1575,0.455
2021-02-16 11:00:00 UTC+0000,0.24,0.4525,0.4525,0.4425
2021-02-16 15:00:00 UTC+0000,0.14,0.1825,0.1825,0.4125
2021-02-16 19:00:00 UTC+0000,0.525,0.1725,0.1725,0.4325
2021-02-16 23:00:00 UTC+0000,0.925,0.6,0.6,0.87
2021-02-17 03:00:00 UTC+0000,1.25,0.67,0.67,0.9125
2021-02-17 07:00:00 UTC+0000,0.22,0.1225,0.1225,0.32
2021-02-17 11:00:00 UTC+0000,0.2725,0.24,0.24,0.3
2021-02-17 15:00:00 UTC+0000,0.1825,0.14,0.14,0.275
2021-02-17 19:00:00 UTC+0000,0.3525,0.525,0.525,0.3125
2021-02-17 23:00:00 UTC+0000,0.875,0.925,0.925,0.575
2021-02-18 03:00:00 UTC+0000,0.96,1.25,1.25,0.6025
2021-02-18 07:00:00 UTC+0000,0.19,0.22,0.22,0.2525
2021-02-18 11:00:00 UTC+0000,0.4325,0.2725,0.2725,0.25
2021-02-18 15:00:00 UTC+0000,0.3175,0.1825,0.1825,0.25
2021-02-18 19:00:00 UTC+0000,1.25,0.3525,0.3525,0.265
2021-02-18 23:00:00 UTC+0000,0.75,0.875,0.875,0.425
2021-02-19 03:00:00 UTC+0000,0.75,0.96,0.96,0.425
2021-02-19 07:00:00 UTC+0000,0.17,0.19,0.19,0.205
2021-02-19 11:00:00 UTC+0000,0.2475,0.4325,0.4325,0.1875
2021-02-19 15:00:00 UTC+0000,0.1875,0.3175,0.3175,0.1875
2021-02-19 19:00:00 UTC+0000,0.65,1.25,1.25,0.1825
2021-02-19 23:00:00 UTC+0000,0.51,0.4,0.75,0.4
2021-02-20 03:00:00 UTC+0000,0.68,0.415,0.75,0.415
2021-02-20 07:00:00 UTC+0000,0.195,0.1725,0.17,0.1725
2021-02-20 11:00:00 UTC+0000,1.25,0.1725,0.2475,0.1725
2021-02-20 15:00:00 UTC+0000,0.2,0.1675,0.1875,0.1675
2021-02-20 19:00:00 UTC+0000,0.78,0.17,0.65,0.17
2021-02-20 23:00:00 UTC+0000,6.0,0.31,0.51,0.31
