time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-01-14 22:00:00 UTC+0000,55.6,38.97,38.97,52.25
2021-01-14 23:00:00 UTC+0000,48.98,37.3,37.3,50.53
2021-01-15 00:00:00 UTC+0000,48.66,36.91,36.91,48.43
2021-01-15 01:00:00 UTC+0000,47.7,36.98,36.98,47.24
2021-01-15 02:00:00 UTC+0000,46.6,39.82,39.82,45.61
2021-01-15 03:00:00 UTC+0000,48.0,43.2,43.2,46.81
2021-01-15 04:00:00 UTC+0000,51.52,46.45,46.45,51.57
2021-01-15 05:00:00 UTC+0000,62.97,60.04,60.04,60.67
2021-01-15 06:00:00 UTC+0000,77.94,79.9,79.9,79.56
2021-01-15 07:00:00 UTC+0000,94.07,88.82,88.82,103.54
2021-01-15 08:00:00 UTC+0000,97.76,89.27,89.27,110.45
2021-01-15 09:00:00 UTC+0000,90.69,89.63,89.63,109.96
2021-01-15 10:00:00 UTC+0000,86.97,91.05,91.05,106.82
2021-01-15 11:00:00 UTC+0000,79.25,88.75,88.75,102.37
2021-01-15 12:00:00 UTC+0000,76.64,87.1,87.1,97.61
2021-01-15 13:00:00 UTC+0000,77.14,83.98,83.98,95.0
2021-01-15 14:00:00 UTC+0000,76.98,79.96,79.96,95.42
2021-01-15 15:00:00 UTC+0000,82.0,83.42,83.42,95.0
2021-01-15 16:00:00 UTC+0000,99.5,100.67,100.67,110.0
2021-01-15 17:00:00 UTC+0000,98.02,90.16,90.16,102.41
2021-01-15 18:00:00 UTC+0000,95.01,87.7,87.7,88.05
2021-01-15 19:00:00 UTC+0000,77.2,74.58,74.58,64.24
2021-01-15 20:00:00 UTC+0000,67.18,62.74,62.74,59.43
2021-01-15 21:00:00 UTC+0000,63.19,59.82,59.82,57.6
2021-01-15 22:00:00 UTC+0000,55.42,55.6,55.6,51.75
2021-01-15 23:00:00 UTC+0000,58.41,54.73,48.98,54.73
2021-01-16 00:00:00 UTC+0000,55.65,52.39,48.66,52.39
2021-01-16 01:00:00 UTC+0000,52.16,51.67,47.7,51.67
2021-01-16 02:00:00 UTC+0000,51.18,50.88,46.6,50.88
2021-01-16 03:00:00 UTC+0000,49.51,50.02,48.0,50.02
2021-01-16 04:00:00 UTC+0000,48.52,49.1,51.52,49.1
2021-01-16 05:00:00 UTC+0000,48.74,49.57,62.97,49.57
2021-01-16 06:00:00 UTC+0000,51.43,53.82,77.94,53.82
2021-01-16 07:00:00 UTC+0000,61.16,59.8,94.07,59.8
2021-01-16 08:00:00 UTC+0000,64.75,66.92,97.76,66.92
2021-01-16 09:00:00 UTC+0000,63.77,67.71,90.69,67.71
2021-01-16 10:00:00 UTC+0000,62.13,68.0,86.97,68.0
2021-01-16 11:00:00 UTC+0000,55.01,67.01,79.25,67.01
2021-01-16 12:00:00 UTC+0000,50.66,62.53,76.64,62.53
2021-01-16 13:00:00 UTC+0000,49.48,60.0,77.14,60.0
2021-01-16 14:00:00 UTC+0000,50.65,60.0,76.98,60.0
2021-01-16 15:00:00 UTC+0000,57.7,62.78,82.0,62.78
2021-01-16 16:00:00 UTC+0000,65.01,69.92,99.5,69.92
2021-01-16 17:00:00 UTC+0000,66.4,71.99,98.02,71.99
2021-01-16 18:00:00 UTC+0000,63.76,68.95,95.01,68.95
2021-01-16 19:00:00 UTC+0000,57.47,62.66,77.2,62.66
2021-01-16 20:00:00 UTC+0000,52.98,56.54,67.18,56.54
2021-01-16 21:00:00 UTC+0000,53.2,55.81,63.19,55.81
2021-01-16 22:00:00 UTC+0000,50.56,50.85,55.42,50.85
2021-01-16 23:00:00 UTC+0000,47.99,54.65,58.41,54.65
2021-01-17 00:00:00 UTC+0000,47.74,51.79,55.65,51.79
2021-01-17 01:00:00 UTC+0000,47.18,50.58,52.16,50.58
2021-01-17 02:00:00 UTC+0000,46.09,47.98,51.18,47.98
2021-01-17 03:00:00 UTC+0000,45.8,47.6,49.51,47.6
2021-01-17 04:00:00 UTC+0000,45.42,47.59,48.52,47.59
2021-01-17 05:00:00 UTC+0000,46.46,42.09,48.74,42.09
2021-01-17 06:00:00 UTC+0000,47.64,44.56,51.43,44.56
2021-01-17 07:00:00 UTC+0000,47.42,49.46,61.16,49.46
2021-01-17 08:00:00 UTC+0000,51.13,54.96,64.75,54.96
2021-01-17 09:00:00 UTC+0000,56.5,53.63,63.77,53.63
2021-01-17 10:00:00 UTC+0000,59.94,55.57,62.13,55.57
2021-01-17 11:00:00 UTC+0000,55.51,54.17,55.01,54.17
2021-01-17 12:00:00 UTC+0000,52.82,52.62,50.66,52.62
2021-01-17 13:00:00 UTC+0000,49.95,53.18,49.48,53.18
2021-01-17 14:00:00 UTC+0000,53.48,54.85,50.65,54.85
2021-01-17 15:00:00 UTC+0000,60.6,56.52,57.7,56.52
2021-01-17 16:00:00 UTC+0000,67.05,62.09,65.01,62.09
2021-01-17 17:00:00 UTC+0000,72.0,63.41,66.4,63.41
2021-01-17 18:00:00 UTC+0000,67.78,56.39,63.76,56.39
2021-01-17 19:00:00 UTC+0000,62.45,55.64,57.47,55.64
2021-01-17 20:00:00 UTC+0000,56.61,53.33,52.98,53.33
2021-01-17 21:00:00 UTC+0000,57.07,52.05,53.2,52.05
2021-01-17 22:00:00 UTC+0000,51.34,37.24,50.56,37.24
2021-01-17 23:00:00 UTC+0000,50.22,48.98,47.99,44.9
