time (UTC),aFRR-_capacity_marginal_price[(EUR/MW)/h]
2021-03-07 15:00:00 UTC+0000,1.2225
2021-03-07 19:00:00 UTC+0000,0.9075
2021-03-07 23:00:00 UTC+0000,4.64
2021-03-08 03:00:00 UTC+0000,2.16
2021-03-08 07:00:00 UTC+0000,1.4
2021-03-08 11:00:00 UTC+0000,2.575
2021-03-08 15:00:00 UTC+0000,0.7475
2021-03-08 19:00:00 UTC+0000,0.735
2021-03-08 23:00:00 UTC+0000,4.05
2021-03-09 03:00:00 UTC+0000,1.9725
2021-03-09 07:00:00 UTC+0000,0.9225
2021-03-09 11:00:00 UTC+0000,1.975
2021-03-09 15:00:00 UTC+0000,0.525
2021-03-09 19:00:00 UTC+0000,0.605
2021-03-09 23:00:00 UTC+0000,3.55
2021-03-10 03:00:00 UTC+0000,1.7
2021-03-10 07:00:00 UTC+0000,0.7475
2021-03-10 11:00:00 UTC+0000,1.655
2021-03-10 15:00:00 UTC+0000,0.73
2021-03-10 19:00:00 UTC+0000,4.28
2021-03-10 23:00:00 UTC+0000,20.0
2021-03-11 03:00:00 UTC+0000,15.855
2021-03-11 07:00:00 UTC+0000,4.88
2021-03-11 11:00:00 UTC+0000,11.9525
2021-03-11 15:00:00 UTC+0000,7.25
2021-03-11 19:00:00 UTC+0000,10.7075
2021-03-11 23:00:00 UTC+0000,20.58
2021-03-12 03:00:00 UTC+0000,14.5225
2021-03-12 07:00:00 UTC+0000,7.0
2021-03-12 11:00:00 UTC+0000,16.125
2021-03-12 15:00:00 UTC+0000,8.54
2021-03-12 19:00:00 UTC+0000,10.75
2021-03-12 23:00:00 UTC+0000,18.75
2021-03-13 03:00:00 UTC+0000,15.6
2021-03-13 07:00:00 UTC+0000,16.125
2021-03-13 11:00:00 UTC+0000,23.02
2021-03-13 15:00:00 UTC+0000,9.1675
2021-03-13 19:00:00 UTC+0000,10.8375
2021-03-13 23:00:00 UTC+0000,24.25
2021-03-14 03:00:00 UTC+0000,26.0
2021-03-14 07:00:00 UTC+0000,17.1
2021-03-14 11:00:00 UTC+0000,23.125
2021-03-14 15:00:00 UTC+0000,7.75
2021-03-14 19:00:00 UTC+0000,7.98
2021-03-14 23:00:00 UTC+0000,14.0
2021-03-15 03:00:00 UTC+0000,10.2975
2021-03-15 07:00:00 UTC+0000,5.325
2021-03-15 11:00:00 UTC+0000,9.5225
2021-03-15 15:00:00 UTC+0000,3.75
2021-03-15 19:00:00 UTC+0000,4.875
