time (UTC),mFRR+_capacity_marginal_price[(EUR/MW)/h]
2021-02-28 15:00:00 UTC+0000,8.5
2021-02-28 19:00:00 UTC+0000,1.75
2021-02-28 23:00:00 UTC+0000,6.0275
2021-03-01 03:00:00 UTC+0000,10.9275
2021-03-01 07:00:00 UTC+0000,11.32
2021-03-01 11:00:00 UTC+0000,3.7525
2021-03-01 15:00:00 UTC+0000,11.3225
2021-03-01 19:00:00 UTC+0000,4.56
2021-03-01 23:00:00 UTC+0000,5.0
2021-03-02 03:00:00 UTC+0000,8.0
2021-03-02 07:00:00 UTC+0000,13.625
2021-03-02 11:00:00 UTC+0000,3.0
2021-03-02 15:00:00 UTC+0000,14.58
2021-03-02 19:00:00 UTC+0000,3.88
2021-03-02 23:00:00 UTC+0000,3.5
2021-03-03 03:00:00 UTC+0000,10.25
2021-03-03 07:00:00 UTC+0000,11.5
2021-03-03 11:00:00 UTC+0000,3.25
2021-03-03 15:00:00 UTC+0000,11.25
2021-03-03 19:00:00 UTC+0000,3.4175
2021-03-03 23:00:00 UTC+0000,2.6925
2021-03-04 03:00:00 UTC+0000,131.1425
2021-03-04 07:00:00 UTC+0000,42.75
2021-03-04 11:00:00 UTC+0000,2.43
2021-03-04 15:00:00 UTC+0000,10.3175
2021-03-04 19:00:00 UTC+0000,2.5
2021-03-04 23:00:00 UTC+0000,2.0625
2021-03-05 03:00:00 UTC+0000,16.7
2021-03-05 07:00:00 UTC+0000,14.58
2021-03-05 11:00:00 UTC+0000,2.02
2021-03-05 15:00:00 UTC+0000,9.75
2021-03-05 19:00:00 UTC+0000,2.75
2021-03-05 23:00:00 UTC+0000,1.03
2021-03-06 03:00:00 UTC+0000,6.125
2021-03-06 07:00:00 UTC+0000,6.29
2021-03-06 11:00:00 UTC+0000,1.3675
2021-03-06 15:00:00 UTC+0000,7.75
2021-03-06 19:00:00 UTC+0000,1.85
2021-03-06 23:00:00 UTC+0000,0.625
2021-03-07 03:00:00 UTC+0000,3.0
2021-03-07 07:00:00 UTC+0000,3.2
2021-03-07 11:00:00 UTC+0000,0.8725
2021-03-07 15:00:00 UTC+0000,5.75
2021-03-07 19:00:00 UTC+0000,1.35
2021-03-07 23:00:00 UTC+0000,2.43
2021-03-08 03:00:00 UTC+0000,7.72
2021-03-08 07:00:00 UTC+0000,10.67
2021-03-08 11:00:00 UTC+0000,2.89
2021-03-08 15:00:00 UTC+0000,13.425
2021-03-08 19:00:00 UTC+0000,3.625
2021-03-08 23:00:00 UTC+0000,1.91
2021-03-09 03:00:00 UTC+0000,6.0
2021-03-09 07:00:00 UTC+0000,11.75
2021-03-09 11:00:00 UTC+0000,2.25
2021-03-09 15:00:00 UTC+0000,13.72
2021-03-09 19:00:00 UTC+0000,3.0
2021-03-09 23:00:00 UTC+0000,1.38
2021-03-10 03:00:00 UTC+0000,5.0275
2021-03-10 07:00:00 UTC+0000,8.7
2021-03-10 11:00:00 UTC+0000,2.07
2021-03-10 15:00:00 UTC+0000,7.8325
2021-03-10 19:00:00 UTC+0000,2.64
2021-03-10 23:00:00 UTC+0000,1.25
2021-03-11 03:00:00 UTC+0000,4.06
2021-03-11 07:00:00 UTC+0000,8.7575
2021-03-11 11:00:00 UTC+0000,1.5
2021-03-11 15:00:00 UTC+0000,9.285
2021-03-11 19:00:00 UTC+0000,2.02
2021-03-11 23:00:00 UTC+0000,0.75
2021-03-12 03:00:00 UTC+0000,2.94
2021-03-12 07:00:00 UTC+0000,6.0
2021-03-12 11:00:00 UTC+0000,1.19
2021-03-12 15:00:00 UTC+0000,7.83
2021-03-12 19:00:00 UTC+0000,1.68
2021-03-12 23:00:00 UTC+0000,0.75
2021-03-13 03:00:00 UTC+0000,2.0
2021-03-13 07:00:00 UTC+0000,3.7275
2021-03-13 11:00:00 UTC+0000,0.84
2021-03-13 15:00:00 UTC+0000,6.5
2021-03-13 19:00:00 UTC+0000,2.0925
2021-03-13 23:00:00 UTC+0000,1.75
2021-03-14 03:00:00 UTC+0000,1.72
2021-03-14 07:00:00 UTC+0000,2.68
2021-03-14 11:00:00 UTC+0000,0.92
2021-03-14 15:00:00 UTC+0000,6.47
2021-03-14 19:00:00 UTC+0000,2.4575
2021-03-14 23:00:00 UTC+0000,2.14
2021-03-15 03:00:00 UTC+0000,8.7325
2021-03-15 07:00:00 UTC+0000,9.8
2021-03-15 11:00:00 UTC+0000,2.345
2021-03-15 15:00:00 UTC+0000,10.4275
2021-03-15 19:00:00 UTC+0000,3.415
2021-03-15 23:00:00 UTC+0000,1.7
2021-03-16 03:00:00 UTC+0000,4.8
2021-03-16 07:00:00 UTC+0000,7.75
2021-03-16 11:00:00 UTC+0000,1.695
2021-03-16 15:00:00 UTC+0000,10.12
2021-03-16 19:00:00 UTC+0000,2.73
2021-03-16 23:00:00 UTC+0000,1.25
2021-03-17 03:00:00 UTC+0000,4.7975
2021-03-17 07:00:00 UTC+0000,8.1825
2021-03-17 11:00:00 UTC+0000,1.3625
2021-03-17 15:00:00 UTC+0000,11.25
2021-03-17 19:00:00 UTC+0000,2.5
2021-03-17 23:00:00 UTC+0000,0.925
2021-03-18 03:00:00 UTC+0000,3.575
2021-03-18 07:00:00 UTC+0000,6.85
2021-03-18 11:00:00 UTC+0000,1.0675
2021-03-18 15:00:00 UTC+0000,10.0
2021-03-18 19:00:00 UTC+0000,2.06
2021-03-18 23:00:00 UTC+0000,0.675
2021-03-19 03:00:00 UTC+0000,2.75
2021-03-19 07:00:00 UTC+0000,6.08
2021-03-19 11:00:00 UTC+0000,0.785
2021-03-19 15:00:00 UTC+0000,8.57
2021-03-19 19:00:00 UTC+0000,1.45
2021-03-19 23:00:00 UTC+0000,0.83
2021-03-20 03:00:00 UTC+0000,1.925
2021-03-20 07:00:00 UTC+0000,4.5
2021-03-20 11:00:00 UTC+0000,0.75
2021-03-20 15:00:00 UTC+0000,5.925
2021-03-20 19:00:00 UTC+0000,1.27
2021-03-20 23:00:00 UTC+0000,0.69
2021-03-21 03:00:00 UTC+0000,1.2325
2021-03-21 07:00:00 UTC+0000,2.75
2021-03-21 11:00:00 UTC+0000,0.695
2021-03-21 15:00:00 UTC+0000,5.31
2021-03-21 19:00:00 UTC+0000,1.0575
2021-03-21 23:00:00 UTC+0000,1.505
2021-03-22 03:00:00 UTC+0000,5.4775
2021-03-22 07:00:00 UTC+0000,9.4
2021-03-22 11:00:00 UTC+0000,1.53
2021-03-22 15:00:00 UTC+0000,12.25
2021-03-22 19:00:00 UTC+0000,2.5875
2021-03-22 23:00:00 UTC+0000,1.0
2021-03-23 03:00:00 UTC+0000,3.75
2021-03-23 07:00:00 UTC+0000,8.9625
2021-03-23 11:00:00 UTC+0000,1.0675
2021-03-23 15:00:00 UTC+0000,10.83
2021-03-23 19:00:00 UTC+0000,2.13
2021-03-23 23:00:00 UTC+0000,0.6325
2021-03-24 03:00:00 UTC+0000,2.825
2021-03-24 07:00:00 UTC+0000,6.6675
2021-03-24 11:00:00 UTC+0000,0.75
2021-03-24 15:00:00 UTC+0000,8.62
2021-03-24 19:00:00 UTC+0000,1.62
2021-03-24 23:00:00 UTC+0000,0.5325
2021-03-25 03:00:00 UTC+0000,2.345
2021-03-25 07:00:00 UTC+0000,5.75
2021-03-25 11:00:00 UTC+0000,0.775
2021-03-25 15:00:00 UTC+0000,8.0
2021-03-25 19:00:00 UTC+0000,1.375
2021-03-25 23:00:00 UTC+0000,0.45
2021-03-26 03:00:00 UTC+0000,1.915
2021-03-26 07:00:00 UTC+0000,4.7125
2021-03-26 11:00:00 UTC+0000,0.675
2021-03-26 15:00:00 UTC+0000,6.66
2021-03-26 19:00:00 UTC+0000,1.4225
2021-03-26 23:00:00 UTC+0000,0.425
2021-03-27 03:00:00 UTC+0000,1.2525
2021-03-27 07:00:00 UTC+0000,3.1125
2021-03-27 11:00:00 UTC+0000,0.425
2021-03-27 15:00:00 UTC+0000,5.8575
2021-03-27 19:00:00 UTC+0000,1.25
2021-03-27 23:00:00 UTC+0000,0.43
2021-03-28 02:00:00 UTC+0000,0.78
2021-03-28 06:00:00 UTC+0000,2.0
2021-03-28 10:00:00 UTC+0000,0.375
2021-03-28 14:00:00 UTC+0000,6.325
2021-03-28 18:00:00 UTC+0000,4.45
2021-03-28 22:00:00 UTC+0000,1.56
2021-03-29 02:00:00 UTC+0000,4.22
2021-03-29 06:00:00 UTC+0000,9.545
2021-03-29 10:00:00 UTC+0000,1.3475
2021-03-29 14:00:00 UTC+0000,11.36
2021-03-29 18:00:00 UTC+0000,2.85
2021-03-29 22:00:00 UTC+0000,0.7975
2021-03-30 02:00:00 UTC+0000,3.5
2021-03-30 06:00:00 UTC+0000,8.505
2021-03-30 10:00:00 UTC+0000,1.1675
2021-03-30 14:00:00 UTC+0000,8.25
2021-03-30 18:00:00 UTC+0000,2.5
2021-03-30 22:00:00 UTC+0000,0.58
2021-03-31 02:00:00 UTC+0000,2.84
2021-03-31 06:00:00 UTC+0000,7.75
2021-03-31 10:00:00 UTC+0000,1.0
2021-03-31 14:00:00 UTC+0000,6.835
2021-03-31 18:00:00 UTC+0000,3.1825
2021-03-31 22:00:00 UTC+0000,0.47
2021-04-01 02:00:00 UTC+0000,2.16
2021-04-01 06:00:00 UTC+0000,6.31
2021-04-01 10:00:00 UTC+0000,1.555
2021-04-01 14:00:00 UTC+0000,5.3525
2021-04-01 18:00:00 UTC+0000,2.7075
2021-04-01 22:00:00 UTC+0000,0.375
2021-04-02 02:00:00 UTC+0000,1.375
2021-04-02 06:00:00 UTC+0000,5.7625
2021-04-02 10:00:00 UTC+0000,1.0
2021-04-02 14:00:00 UTC+0000,4.6875
2021-04-02 18:00:00 UTC+0000,2.1875
2021-04-02 22:00:00 UTC+0000,0.34
2021-04-03 02:00:00 UTC+0000,1.0
2021-04-03 06:00:00 UTC+0000,3.75
2021-04-03 10:00:00 UTC+0000,0.75
2021-04-03 14:00:00 UTC+0000,3.955
2021-04-03 18:00:00 UTC+0000,6.2475
2021-04-03 22:00:00 UTC+0000,0.36
2021-04-04 02:00:00 UTC+0000,0.79
2021-04-04 06:00:00 UTC+0000,3.0
2021-04-04 10:00:00 UTC+0000,0.585
2021-04-04 14:00:00 UTC+0000,3.8
2021-04-04 18:00:00 UTC+0000,7.1
2021-04-04 22:00:00 UTC+0000,2.4175
2021-04-05 02:00:00 UTC+0000,1.25
2021-04-05 06:00:00 UTC+0000,2.7525
2021-04-05 10:00:00 UTC+0000,1.2975
2021-04-05 14:00:00 UTC+0000,3.94
2021-04-05 18:00:00 UTC+0000,5.745
2021-04-05 22:00:00 UTC+0000,1.75
2021-04-06 02:00:00 UTC+0000,3.01
