time (UTC),aFRR+_capacity_marginal_price[(EUR/MW)/h]
2021-02-19 15:00:00 UTC+0000,8.96
2021-02-19 19:00:00 UTC+0000,5.36
2021-02-19 23:00:00 UTC+0000,2.8625
2021-02-20 03:00:00 UTC+0000,5.1925
2021-02-20 07:00:00 UTC+0000,5.7525
2021-02-20 11:00:00 UTC+0000,2.75
2021-02-20 15:00:00 UTC+0000,6.43
2021-02-20 19:00:00 UTC+0000,3.24
2021-02-20 23:00:00 UTC+0000,2.32
2021-02-21 03:00:00 UTC+0000,3.75
2021-02-21 07:00:00 UTC+0000,4.23
2021-02-21 11:00:00 UTC+0000,2.27
2021-02-21 15:00:00 UTC+0000,6.87
2021-02-21 19:00:00 UTC+0000,2.6
2021-02-21 23:00:00 UTC+0000,34.09
2021-02-22 03:00:00 UTC+0000,73.0
2021-02-22 07:00:00 UTC+0000,23.34
2021-02-22 11:00:00 UTC+0000,7.2125
2021-02-22 15:00:00 UTC+0000,22.8325
2021-02-22 19:00:00 UTC+0000,11.0
2021-02-22 23:00:00 UTC+0000,13.0025
2021-02-23 03:00:00 UTC+0000,18.75
2021-02-23 07:00:00 UTC+0000,12.6875
2021-02-23 11:00:00 UTC+0000,4.595
2021-02-23 15:00:00 UTC+0000,12.6875
2021-02-23 19:00:00 UTC+0000,6.525
2021-02-23 23:00:00 UTC+0000,6.75
2021-02-24 03:00:00 UTC+0000,10.95
2021-02-24 07:00:00 UTC+0000,9.255
2021-02-24 11:00:00 UTC+0000,3.72
2021-02-24 15:00:00 UTC+0000,9.515
2021-02-24 19:00:00 UTC+0000,5.3375
2021-02-24 23:00:00 UTC+0000,5.0625
2021-02-25 03:00:00 UTC+0000,9.6125
2021-02-25 07:00:00 UTC+0000,8.725
2021-02-25 11:00:00 UTC+0000,3.4875
2021-02-25 15:00:00 UTC+0000,9.565
2021-02-25 19:00:00 UTC+0000,4.8075
2021-02-25 23:00:00 UTC+0000,4.075
2021-02-26 03:00:00 UTC+0000,8.33
2021-02-26 07:00:00 UTC+0000,7.875
2021-02-26 11:00:00 UTC+0000,3.25
2021-02-26 15:00:00 UTC+0000,8.5
2021-02-26 19:00:00 UTC+0000,4.1125
2021-02-26 23:00:00 UTC+0000,2.6225
2021-02-27 03:00:00 UTC+0000,4.92
2021-02-27 07:00:00 UTC+0000,5.16
2021-02-27 11:00:00 UTC+0000,2.3175
2021-02-27 15:00:00 UTC+0000,7.5
2021-02-27 19:00:00 UTC+0000,3.5
2021-02-27 23:00:00 UTC+0000,2.09
2021-02-28 03:00:00 UTC+0000,3.5
2021-02-28 07:00:00 UTC+0000,3.9925
2021-02-28 11:00:00 UTC+0000,1.97
2021-02-28 15:00:00 UTC+0000,6.735
2021-02-28 19:00:00 UTC+0000,2.4925
2021-02-28 23:00:00 UTC+0000,22.725
2021-03-01 03:00:00 UTC+0000,40.3325
2021-03-01 07:00:00 UTC+0000,17.1675
2021-03-01 11:00:00 UTC+0000,5.78
2021-03-01 15:00:00 UTC+0000,17.5
2021-03-01 19:00:00 UTC+0000,7.8725
2021-03-01 23:00:00 UTC+0000,12.5
