time (UTC),mFRR-_capacity_marginal_price[(EUR/MW)/h]
2021-02-18 15:00:00 UTC+0000,0.3175
2021-02-18 19:00:00 UTC+0000,1.25
2021-02-18 23:00:00 UTC+0000,0.75
2021-02-19 03:00:00 UTC+0000,0.75
2021-02-19 07:00:00 UTC+0000,0.17
2021-02-19 11:00:00 UTC+0000,0.2475
2021-02-19 15:00:00 UTC+0000,0.1875
2021-02-19 19:00:00 UTC+0000,0.65
2021-02-19 23:00:00 UTC+0000,0.51
2021-02-20 03:00:00 UTC+0000,0.68
2021-02-20 07:00:00 UTC+0000,0.195
2021-02-20 11:00:00 UTC+0000,1.25
2021-02-20 15:00:00 UTC+0000,0.2
2021-02-20 19:00:00 UTC+0000,0.78
2021-02-20 23:00:00 UTC+0000,6.0
2021-02-21 03:00:00 UTC+0000,8.6675
2021-02-21 07:00:00 UTC+0000,1.9975
2021-02-21 11:00:00 UTC+0000,3.0
2021-02-21 15:00:00 UTC+0000,0.75
2021-02-21 19:00:00 UTC+0000,1.25
2021-02-21 23:00:00 UTC+0000,2.35
2021-02-22 03:00:00 UTC+0000,1.85
2021-02-22 07:00:00 UTC+0000,0.52
2021-02-22 11:00:00 UTC+0000,0.9475
2021-02-22 15:00:00 UTC+0000,0.3625
2021-02-22 19:00:00 UTC+0000,0.52
2021-02-22 23:00:00 UTC+0000,1.0
2021-02-23 03:00:00 UTC+0000,1.0
2021-02-23 07:00:00 UTC+0000,0.4375
2021-02-23 11:00:00 UTC+0000,0.75
2021-02-23 15:00:00 UTC+0000,0.375
2021-02-23 19:00:00 UTC+0000,0.75
2021-02-23 23:00:00 UTC+0000,0.7325
2021-02-24 03:00:00 UTC+0000,0.8675
2021-02-24 07:00:00 UTC+0000,0.5
2021-02-24 11:00:00 UTC+0000,2.255
2021-02-24 15:00:00 UTC+0000,0.285
2021-02-24 19:00:00 UTC+0000,0.5525
2021-02-24 23:00:00 UTC+0000,1.0
2021-02-25 03:00:00 UTC+0000,0.75
2021-02-25 07:00:00 UTC+0000,0.3925
2021-02-25 11:00:00 UTC+0000,1.275
2021-02-25 15:00:00 UTC+0000,0.245
2021-02-25 19:00:00 UTC+0000,0.5
2021-02-25 23:00:00 UTC+0000,0.7
2021-02-26 03:00:00 UTC+0000,0.6075
2021-02-26 07:00:00 UTC+0000,0.275
2021-02-26 11:00:00 UTC+0000,0.75
2021-02-26 15:00:00 UTC+0000,0.2125
2021-02-26 19:00:00 UTC+0000,0.37
2021-02-26 23:00:00 UTC+0000,0.5
2021-02-27 03:00:00 UTC+0000,0.52
2021-02-27 07:00:00 UTC+0000,0.275
2021-02-27 11:00:00 UTC+0000,0.75
2021-02-27 15:00:00 UTC+0000,0.1825
2021-02-27 19:00:00 UTC+0000,0.5
2021-02-27 23:00:00 UTC+0000,1.07
2021-02-28 03:00:00 UTC+0000,1.4975
2021-02-28 07:00:00 UTC+0000,1.1475
2021-02-28 11:00:00 UTC+0000,2.0
2021-02-28 15:00:00 UTC+0000,0.625
2021-02-28 19:00:00 UTC+0000,0.31
2021-02-28 23:00:00 UTC+0000,0.7
2021-03-01 03:00:00 UTC+0000,0.895
2021-03-01 07:00:00 UTC+0000,0.47
2021-03-01 11:00:00 UTC+0000,0.87
2021-03-01 15:00:00 UTC+0000,0.3725
2021-03-01 19:00:00 UTC+0000,0.2
2021-03-01 23:00:00 UTC+0000,0.55
2021-03-02 03:00:00 UTC+0000,0.525
2021-03-02 07:00:00 UTC+0000,0.2625
2021-03-02 11:00:00 UTC+0000,0.5
2021-03-02 15:00:00 UTC+0000,0.245
2021-03-02 19:00:00 UTC+0000,0.155
2021-03-02 23:00:00 UTC+0000,0.4375
2021-03-03 03:00:00 UTC+0000,0.425
2021-03-03 07:00:00 UTC+0000,0.205
2021-03-03 11:00:00 UTC+0000,0.28
2021-03-03 15:00:00 UTC+0000,0.195
2021-03-03 19:00:00 UTC+0000,0.125
2021-03-03 23:00:00 UTC+0000,0.36
2021-03-04 03:00:00 UTC+0000,0.3275
2021-03-04 07:00:00 UTC+0000,0.175
2021-03-04 11:00:00 UTC+0000,0.21
2021-03-04 15:00:00 UTC+0000,0.15
2021-03-04 19:00:00 UTC+0000,0.105
2021-03-04 23:00:00 UTC+0000,0.255
2021-03-05 03:00:00 UTC+0000,0.205
2021-03-05 07:00:00 UTC+0000,0.135
2021-03-05 11:00:00 UTC+0000,0.175
2021-03-05 15:00:00 UTC+0000,0.11
2021-03-05 19:00:00 UTC+0000,0.09
2021-03-05 23:00:00 UTC+0000,0.2025
2021-03-06 03:00:00 UTC+0000,0.2075
2021-03-06 07:00:00 UTC+0000,0.25
2021-03-06 11:00:00 UTC+0000,1.5
2021-03-06 15:00:00 UTC+0000,0.1375
2021-03-06 19:00:00 UTC+0000,0.1125
2021-03-06 23:00:00 UTC+0000,0.3875
2021-03-07 03:00:00 UTC+0000,0.5575
2021-03-07 07:00:00 UTC+0000,0.72
2021-03-07 11:00:00 UTC+0000,1.49
2021-03-07 15:00:00 UTC+0000,0.39
2021-03-07 19:00:00 UTC+0000,0.125
2021-03-07 23:00:00 UTC+0000,0.205
2021-03-08 03:00:00 UTC+0000,0.225
2021-03-08 07:00:00 UTC+0000,0.205
2021-03-08 11:00:00 UTC+0000,0.6
2021-03-08 15:00:00 UTC+0000,0.175
2021-03-08 19:00:00 UTC+0000,0.09
2021-03-08 23:00:00 UTC+0000,0.1375
2021-03-09 03:00:00 UTC+0000,0.1575
2021-03-09 07:00:00 UTC+0000,0.1375
2021-03-09 11:00:00 UTC+0000,0.25
2021-03-09 15:00:00 UTC+0000,0.11
2021-03-09 19:00:00 UTC+0000,0.085
2021-03-09 23:00:00 UTC+0000,0.1
2021-03-10 03:00:00 UTC+0000,0.105
2021-03-10 07:00:00 UTC+0000,0.0975
2021-03-10 11:00:00 UTC+0000,0.17
2021-03-10 15:00:00 UTC+0000,0.1
2021-03-10 19:00:00 UTC+0000,2.1875
2021-03-10 23:00:00 UTC+0000,10.275
2021-03-11 03:00:00 UTC+0000,6.4375
2021-03-11 07:00:00 UTC+0000,2.9975
2021-03-11 11:00:00 UTC+0000,6.7525
2021-03-11 15:00:00 UTC+0000,3.69
2021-03-11 19:00:00 UTC+0000,4.63
2021-03-11 23:00:00 UTC+0000,8.7875
2021-03-12 03:00:00 UTC+0000,5.555
2021-03-12 07:00:00 UTC+0000,3.6125
2021-03-12 11:00:00 UTC+0000,11.0
2021-03-12 15:00:00 UTC+0000,3.25
2021-03-12 19:00:00 UTC+0000,4.1275
2021-03-12 23:00:00 UTC+0000,7.03
2021-03-13 03:00:00 UTC+0000,4.9025
2021-03-13 07:00:00 UTC+0000,8.75
2021-03-13 11:00:00 UTC+0000,19.875
2021-03-13 15:00:00 UTC+0000,3.225
2021-03-13 19:00:00 UTC+0000,3.125
2021-03-13 23:00:00 UTC+0000,13.75
2021-03-14 03:00:00 UTC+0000,14.43
2021-03-14 07:00:00 UTC+0000,8.375
2021-03-14 11:00:00 UTC+0000,17.25
2021-03-14 15:00:00 UTC+0000,2.5
2021-03-14 19:00:00 UTC+0000,2.075
2021-03-14 23:00:00 UTC+0000,3.93
2021-03-15 03:00:00 UTC+0000,3.1
2021-03-15 07:00:00 UTC+0000,1.5575
2021-03-15 11:00:00 UTC+0000,2.8775
2021-03-15 15:00:00 UTC+0000,1.1375
2021-03-15 19:00:00 UTC+0000,0.975
2021-03-15 23:00:00 UTC+0000,1.75
2021-03-16 03:00:00 UTC+0000,1.5
2021-03-16 07:00:00 UTC+0000,0.75
2021-03-16 11:00:00 UTC+0000,0.9375
2021-03-16 15:00:00 UTC+0000,0.4525
2021-03-16 19:00:00 UTC+0000,0.49
2021-03-16 23:00:00 UTC+0000,1.0
2021-03-17 03:00:00 UTC+0000,0.75
2021-03-17 07:00:00 UTC+0000,0.38
2021-03-17 11:00:00 UTC+0000,0.5
2021-03-17 15:00:00 UTC+0000,0.25
2021-03-17 19:00:00 UTC+0000,0.325
2021-03-17 23:00:00 UTC+0000,0.5
2021-03-18 03:00:00 UTC+0000,0.5
2021-03-18 07:00:00 UTC+0000,0.27
2021-03-18 11:00:00 UTC+0000,0.345
2021-03-18 15:00:00 UTC+0000,0.1875
2021-03-18 19:00:00 UTC+0000,0.21
2021-03-18 23:00:00 UTC+0000,0.25
2021-03-19 03:00:00 UTC+0000,0.25
2021-03-19 07:00:00 UTC+0000,0.185
2021-03-19 11:00:00 UTC+0000,0.25
2021-03-19 15:00:00 UTC+0000,0.145
2021-03-19 19:00:00 UTC+0000,0.1375
2021-03-19 23:00:00 UTC+0000,0.1875
2021-03-20 03:00:00 UTC+0000,0.2075
2021-03-20 07:00:00 UTC+0000,0.2225
2021-03-20 11:00:00 UTC+0000,0.5
2021-03-20 15:00:00 UTC+0000,0.1375
2021-03-20 19:00:00 UTC+0000,0.1375
2021-03-20 23:00:00 UTC+0000,0.785
2021-03-21 03:00:00 UTC+0000,3.525
2021-03-21 07:00:00 UTC+0000,3.75
2021-03-21 11:00:00 UTC+0000,7.5
2021-03-21 15:00:00 UTC+0000,1.0
2021-03-21 19:00:00 UTC+0000,0.16
2021-03-21 23:00:00 UTC+0000,0.6675
2021-03-22 03:00:00 UTC+0000,1.1
2021-03-22 07:00:00 UTC+0000,0.8225
2021-03-22 11:00:00 UTC+0000,1.0
2021-03-22 15:00:00 UTC+0000,0.275
2021-03-22 19:00:00 UTC+0000,0.12
2021-03-22 23:00:00 UTC+0000,0.53
2021-03-23 03:00:00 UTC+0000,0.59
2021-03-23 07:00:00 UTC+0000,0.3
2021-03-23 11:00:00 UTC+0000,0.3375
2021-03-23 15:00:00 UTC+0000,0.17
2021-03-23 19:00:00 UTC+0000,0.115
2021-03-23 23:00:00 UTC+0000,0.25
2021-03-24 03:00:00 UTC+0000,0.23
2021-03-24 07:00:00 UTC+0000,0.1425
2021-03-24 11:00:00 UTC+0000,0.25
2021-03-24 15:00:00 UTC+0000,0.1
2021-03-24 19:00:00 UTC+0000,0.08
2021-03-24 23:00:00 UTC+0000,0.15
2021-03-25 03:00:00 UTC+0000,0.17
2021-03-25 07:00:00 UTC+0000,0.09
2021-03-25 11:00:00 UTC+0000,0.135
2021-03-25 15:00:00 UTC+0000,0.075
2021-03-25 19:00:00 UTC+0000,0.0625
2021-03-25 23:00:00 UTC+0000,0.1875
2021-03-26 03:00:00 UTC+0000,0.125
2021-03-26 07:00:00 UTC+0000,0.17
2021-03-26 11:00:00 UTC+0000,1.75
2021-03-26 15:00:00 UTC+0000,0.15
2021-03-26 19:00:00 UTC+0000,0.42
2021-03-26 23:00:00 UTC+0000,1.7525
2021-03-27 03:00:00 UTC+0000,2.2375
2021-03-27 07:00:00 UTC+0000,8.15
2021-03-27 11:00:00 UTC+0000,15.25
2021-03-27 15:00:00 UTC+0000,2.1875
2021-03-27 19:00:00 UTC+0000,0.94
