time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-02-12 03:00:00 UTC+0000,2.5,3.1125,3.1125,1.63
2021-02-12 07:00:00 UTC+0000,0.82,0.9375,0.9375,1.2
2021-02-12 11:00:00 UTC+0000,0.925,0.8275,0.8275,1.075
2021-02-12 15:00:00 UTC+0000,0.75,0.7125,0.7125,1.25
2021-02-12 19:00:00 UTC+0000,1.03,0.94,0.94,1.7775
2021-02-12 23:00:00 UTC+0000,5.79,6.125,6.5,6.125
2021-02-13 03:00:00 UTC+0000,2.06,5.1875,2.5,5.1875
2021-02-13 07:00:00 UTC+0000,0.84,1.9375,0.82,1.9375
2021-02-13 11:00:00 UTC+0000,0.8475,2.28,0.925,2.28
2021-02-13 15:00:00 UTC+0000,0.7025,2.75,0.75,2.75
2021-02-13 19:00:00 UTC+0000,1.25,5.115,1.03,5.115
2021-02-13 23:00:00 UTC+0000,5.01,30.005,5.79,30.005
2021-02-14 03:00:00 UTC+0000,1.775,40.0,2.06,40.0
2021-02-14 07:00:00 UTC+0000,1.005,7.55,0.84,7.55
2021-02-14 11:00:00 UTC+0000,4.3,4.445,0.8475,4.445
2021-02-14 15:00:00 UTC+0000,0.97,3.005,0.7025,3.005
2021-02-14 19:00:00 UTC+0000,1.25,4.5,1.25,4.5
2021-02-14 23:00:00 UTC+0000,5.95,6.5,5.01,13.25
2021-02-15 03:00:00 UTC+0000,2.7475,2.5,1.775,15.33
2021-02-15 07:00:00 UTC+0000,0.9175,0.82,1.005,3.435
2021-02-15 11:00:00 UTC+0000,1.92,0.925,4.3,2.1875
2021-02-15 15:00:00 UTC+0000,0.85,0.75,0.97,1.5
2021-02-15 19:00:00 UTC+0000,1.145,1.03,1.25,2.25
2021-02-15 23:00:00 UTC+0000,4.775,5.95,5.95,12.6
2021-02-16 03:00:00 UTC+0000,2.06,2.7475,2.7475,6.9075
