time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-02-24 23:00:00 UTC+0000,1.105,1.425,1.425,2.1975
2021-02-25 03:00:00 UTC+0000,5.5725,5.26,5.26,6.12
2021-02-25 07:00:00 UTC+0000,8.0625,7.125,7.125,8.69
2021-02-25 11:00:00 UTC+0000,2.0725,2.19,2.19,2.6225
2021-02-25 15:00:00 UTC+0000,12.31,8.215,8.215,6.5
2021-02-25 19:00:00 UTC+0000,3.5,3.3925,3.3925,6.375
2021-02-25 23:00:00 UTC+0000,0.7875,1.105,1.105,1.59
2021-02-26 03:00:00 UTC+0000,4.75,5.5725,5.5725,4.825
2021-02-26 07:00:00 UTC+0000,7.25,8.0625,8.0625,7.5
2021-02-26 11:00:00 UTC+0000,1.92,2.0725,2.0725,2.25
2021-02-26 15:00:00 UTC+0000,9.25,12.31,12.31,8.0
2021-02-26 19:00:00 UTC+0000,3.25,3.5,3.5,4.6475
2021-02-26 23:00:00 UTC+0000,1.0975,1.375,0.7875,1.375
2021-02-27 03:00:00 UTC+0000,3.035,3.6875,4.75,3.6875
2021-02-27 07:00:00 UTC+0000,4.5,4.75,7.25,4.75
2021-02-27 11:00:00 UTC+0000,1.47,1.75,1.92,1.75
2021-02-27 15:00:00 UTC+0000,6.75,5.25,9.25,5.25
2021-02-27 19:00:00 UTC+0000,2.0,2.5,3.25,2.5
2021-02-27 23:00:00 UTC+0000,0.7925,0.905,1.0975,0.905
2021-02-28 03:00:00 UTC+0000,2.0,2.25,3.035,2.25
2021-02-28 07:00:00 UTC+0000,3.2225,3.14,4.5,3.14
2021-02-28 11:00:00 UTC+0000,1.25,1.285,1.47,1.285
2021-02-28 15:00:00 UTC+0000,8.5,4.75,6.75,4.75
2021-02-28 19:00:00 UTC+0000,1.75,2.0,2.0,2.0
2021-02-28 23:00:00 UTC+0000,6.0275,0.7875,0.7925,3.73
2021-03-01 03:00:00 UTC+0000,10.9275,4.75,2.0,13.1075
2021-03-01 07:00:00 UTC+0000,11.32,7.25,3.2225,12.7825
2021-03-01 11:00:00 UTC+0000,3.7525,1.92,1.25,4.25
2021-03-01 15:00:00 UTC+0000,11.3225,9.25,8.5,12.46
2021-03-01 19:00:00 UTC+0000,4.56,3.25,1.75,4.78
2021-03-01 23:00:00 UTC+0000,5.0,6.0275,6.0275,2.25
2021-03-02 03:00:00 UTC+0000,8.0,10.9275,10.9275,8.25
2021-03-02 07:00:00 UTC+0000,13.625,11.32,11.32,12.22
2021-03-02 11:00:00 UTC+0000,3.0,3.7525,3.7525,2.75
2021-03-02 15:00:00 UTC+0000,14.58,11.3225,11.3225,8.3325
2021-03-02 19:00:00 UTC+0000,3.88,4.56,4.56,3.75
2021-03-02 23:00:00 UTC+0000,3.5,5.0,5.0,1.425
2021-03-03 03:00:00 UTC+0000,10.25,8.0,8.0,5.26
2021-03-03 07:00:00 UTC+0000,11.5,13.625,13.625,7.125
2021-03-03 11:00:00 UTC+0000,3.25,3.0,3.0,2.19
2021-03-03 15:00:00 UTC+0000,11.25,14.58,14.58,8.215
2021-03-03 19:00:00 UTC+0000,3.4175,3.88,3.88,3.3925
2021-03-03 23:00:00 UTC+0000,2.6925,3.5,3.5,1.105
2021-03-04 03:00:00 UTC+0000,131.1425,10.25,10.25,5.5725
2021-03-04 07:00:00 UTC+0000,42.75,11.5,11.5,8.0625
2021-03-04 11:00:00 UTC+0000,2.43,3.25,3.25,2.0725
2021-03-04 15:00:00 UTC+0000,10.3175,11.25,11.25,12.31
2021-03-04 19:00:00 UTC+0000,2.5,3.4175,3.4175,3.5
2021-03-04 23:00:00 UTC+0000,2.0625,2.6925,2.6925,0.7875
2021-03-05 03:00:00 UTC+0000,16.7,131.1425,131.1425,4.75
2021-03-05 07:00:00 UTC+0000,14.58,42.75,42.75,7.25
2021-03-05 11:00:00 UTC+0000,2.02,2.43,2.43,1.92
2021-03-05 15:00:00 UTC+0000,9.75,10.3175,10.3175,9.25
2021-03-05 19:00:00 UTC+0000,2.75,2.5,2.5,3.25
2021-03-05 23:00:00 UTC+0000,1.03,1.0975,2.0625,1.0975
2021-03-06 03:00:00 UTC+0000,6.125,3.035,16.7,3.035
2021-03-06 07:00:00 UTC+0000,6.29,4.5,14.58,4.5
2021-03-06 11:00:00 UTC+0000,1.3675,1.47,2.02,1.47
2021-03-06 15:00:00 UTC+0000,7.75,6.75,9.75,6.75
2021-03-06 19:00:00 UTC+0000,1.85,2.0,2.75,2.0
2021-03-06 23:00:00 UTC+0000,0.625,0.7925,1.03,0.7925
2021-03-07 03:00:00 UTC+0000,3.0,2.0,6.125,2.0
2021-03-07 07:00:00 UTC+0000,3.2,3.2225,6.29,3.2225
2021-03-07 11:00:00 UTC+0000,0.8725,1.25,1.3675,1.25
2021-03-07 15:00:00 UTC+0000,5.75,8.5,7.75,8.5
2021-03-07 19:00:00 UTC+0000,1.35,1.75,1.85,1.75
2021-03-07 23:00:00 UTC+0000,2.43,2.0625,0.625,6.0275
